VOUT X,VOUT Y
4.000818234765018e-06,0.01438002289292295
4.000848531854479e-06,0.01569039768254077
4.000882429369213e-06,0.01705410470750899
4.000914257127386e-06,0.01812329319393459
4.000952444152058e-06,0.01911576645104426
4.000976222076029e-06,0.01959027937801974
4.000999999999999e-06,0.01997320910394694
4.00101571372209e-06,0.02015103086145715
4.001033939540354e-06,0.02034087008065157
4.001051615831879e-06,0.02049712835327213
4.001086968414927e-06,0.02074218339948525
4.001150048900898e-06,0.02101854278577547
4.001219720150984e-06,0.02117326094286745
4.001300139353097e-06,0.02123468346555147
4.001392762478276e-06,0.02120242609283139
4.001501685611543e-06,0.02105507350101058
4.001567579161344e-06,0.02092537361922512
4.001621006194806e-06,0.0208087275644267
4.001681480167951e-06,0.02065718040815519
4.001740546629318e-06,0.02043466725950793
